old_path	new_path	status	reason	text_references
deploy/active_arm	vskipper/configs/deploy/active_arm	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/model_executor/model_runner.py;python/sglang/srt/vpipe/common.py;python/sglang/srt/vpipe/design.py;python/sglang/srt/vpipe/seam.py;python/sglang/srt/vpipe/skipper.py;test/vp/gate_tests/test_paired_driver_invocation.py;test/vp/gate_tests/test_preflight_host_config.py;test/vp/gates/box_conc16_stress.sh;test/vp/gates/box_vpcov_arm.sh;test/vp/gates/campaign_preflight.py;test/vp/gates/verify_served_design.py;test/vp/run_paired_campaign.py
deploy/execution_differences.json	vskipper/configs/deploy/execution_differences.json	required	Runtime implementation, integration resource or deployment configuration.	docs/vskipper/02-run-experiments.md;test/vp/gates/verify_execution_differences.py
deploy/execution_differences.rtxa6000.json	vskipper/configs/deploy/execution_differences.rtxa6000.json	required	Runtime implementation, integration resource or deployment configuration.	
deploy/hosts/hpc-cluster.json	vskipper/configs/deploy/hosts/hpc-cluster.json	required	Runtime implementation, integration resource or deployment configuration.	test/vp/gate_tests/test_preflight_host_config.py;test/vp/gates/campaign_preflight.py
deploy/hosts/vast-a100.json	vskipper/configs/deploy/hosts/vast-a100.json	required	Runtime implementation, integration resource or deployment configuration.	test/vp/gate_tests/test_preflight_host_config.py;test/vp/gate_tests/test_quality_2x2_driver.py;test/vp/gates/box_conc16_stress.sh;test/vp/gates/box_vpcov_arm.sh;test/vp/gates/campaign_preflight.py;test/vp/run_paired_campaign.py
deploy/hosts/vast-h100.json	vskipper/configs/deploy/hosts/vast-h100.json	required	Runtime implementation, integration resource or deployment configuration.	
deploy/hosts/vast-l40s.json	vskipper/configs/deploy/hosts/vast-l40s.json	required	Runtime implementation, integration resource or deployment configuration.	
deploy/hosts/vast-rtx5880.json	vskipper/configs/deploy/hosts/vast-rtx5880.json	required	Runtime implementation, integration resource or deployment configuration.	
deploy/hosts/vast-rtxa6000.json	vskipper/configs/deploy/hosts/vast-rtxa6000.json	required	Runtime implementation, integration resource or deployment configuration.	
deploy/upstream_baseline.json	vskipper/configs/deploy/upstream_baseline.json	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/vpipe/design.py;test/vp/gates/campaign_preflight.py
docs/vskipper/01-environment.md	vskipper/docs/01-environment.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/README.md
docs/vskipper/02-run-experiments.md	vskipper/docs/02-run-experiments.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/01-environment.md;docs/vskipper/README.md
docs/vskipper/03-run-analysis.md	vskipper/docs/03-run-analysis.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/01-environment.md;docs/vskipper/02-run-experiments.md;docs/vskipper/README.md
docs/vskipper/README.md	vskipper/docs/README.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/removed.md;test/vp/gates/gates_box.sh;training/qwen3-flexidepth/bin/hf_push_ckpt.sh
docs/vskipper/decisions.md	vskipper/docs/decisions.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/README.md;scripts/check_anonymity.sh
docs/vskipper/gates.md	vskipper/docs/gates.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/02-run-experiments.md;docs/vskipper/README.md
docs/vskipper/removed.md	vskipper/docs/removed.md	documentation	Canonical project guide; old URL retained as a forwarding page.	docs/vskipper/README.md
python/sglang/benchmark/request_identity.py	vskipper/src/vskipper/experiments/request_identity.py	required	Stable request identity shared by benchmark transport and workload tools.	python/sglang/benchmark/serving.py;test/vp/build_fair_output_workload.py;test/vp/run_fair_evaluation_contract_direct.py;test/vp/test_benchmark_request_identity.py
python/sglang/srt/vpipe/__init__.py	vskipper/src/vskipper/runtime/__init__.py	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/vpipe/validation.py;test/vp/test_execution_mode_gate.py
python/sglang/srt/vpipe/attention.py	vskipper/src/vskipper/runtime/attention.py	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/layers/attention/flashinfer_backend.py;python/sglang/srt/layers/attention/triton_backend.py;python/sglang/srt/managers/scheduler.py;python/sglang/srt/model_executor/model_runner.py;python/sglang/srt/model_executor/runner/decode_cuda_graph_runner.py;python/sglang/srt/model_executor/runner/prefill_cuda_graph_runner.py;python/sglang/srt/models/llama.py;python/sglang/srt/models/qwen3.py;python/sglang/srt/vpipe/attestation.py;python/sglang/srt/vpipe/executor.py;python/sglang/srt/vpipe/seam.py
python/sglang/srt/vpipe/attestation.py	vskipper/src/vskipper/runtime/attestation.py	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/layers/attention/flashinfer_backend.py;python/sglang/srt/managers/schedule_batch.py;python/sglang/srt/managers/scheduler.py;python/sglang/srt/model_executor/model_runner.py;python/sglang/srt/model_executor/runner/prefill_cuda_graph_runner.py;python/sglang/srt/model_executor/runner_backend/utils.py;python/sglang/srt/vpipe/graph_backend.py;python/sglang/srt/vpipe/graphs.py;python/sglang/srt/vpipe/seam.py;python/sglang/srt/vpipe/validation.py;test/vp/gate_tests/test_quality_lane_token_identity.py;test/vp/test_coverage_dense.py;test/vp/validate_runtime_after.py
python/sglang/srt/vpipe/batch.py	vskipper/src/vskipper/runtime/batch.py	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/managers/schedule_batch.py;python/sglang/srt/vpipe/executor.py;python/sglang/srt/vpipe/graphs.py;python/sglang/srt/vpipe/seam.py
python/sglang/srt/vpipe/binary_cohort_configs/NVIDIA_A100.json	vskipper/src/vskipper/kernels/binary_cohort_configs/NVIDIA_A100.json	required	Runtime implementation, integration resource or deployment configuration.	
python/sglang/srt/vpipe/binary_cohort_configs/NVIDIA_H100_HBM3.json	vskipper/src/vskipper/kernels/binary_cohort_configs/NVIDIA_H100_HBM3.json	required	Runtime implementation, integration resource or deployment configuration.	deploy/hosts/vast-h100.json
python/sglang/srt/vpipe/binary_cohort_configs/NVIDIA_L40S.json	vskipper/src/vskipper/kernels/binary_cohort_configs/NVIDIA_L40S.json	required	Runtime implementation, integration resource or deployment configuration.	deploy/hosts/vast-l40s.json
python/sglang/srt/vpipe/binary_cohort_configs/NVIDIA_RTX_5880_Ada_Generation.json	vskipper/src/vskipper/kernels/binary_cohort_configs/NVIDIA_RTX_5880_Ada_Generation.json	required	Runtime implementation, integration resource or deployment configuration.	deploy/hosts/vast-rtx5880.json
python/sglang/srt/vpipe/binary_cohort_configs/NVIDIA_RTX_A6000.json	vskipper/src/vskipper/kernels/binary_cohort_configs/NVIDIA_RTX_A6000.json	required	Runtime implementation, integration resource or deployment configuration.	deploy/hosts/vast-rtxa6000.json;test/vp/tune_count_gemm_tiles.py
python/sglang/srt/vpipe/binary_cohort_configs/Quadro_RTX_8000.json	vskipper/src/vskipper/kernels/binary_cohort_configs/Quadro_RTX_8000.json	required	Runtime implementation, integration resource or deployment configuration.	
python/sglang/srt/vpipe/cohort.py	vskipper/src/vskipper/runtime/cohort.py	required	Runtime implementation, integration resource or deployment configuration.	python/sglang/srt/vpipe/batch.py;python/sglang/srt/vpipe/common.py;python/sglang/srt/vpipe/executor.py;python/sglang/srt/vpipe/graphs.py;python/sglang/srt/vpipe/mlp_compact.py;test/vp/bench_fd_conditional_oracle.py;test/vp/binary_cohort_reference.py;test/vp/test_shared_module_state.py
python/sglang/srt/vpipe/common.py	vskipper/src/vskipper/runtime/common.py	required	Runtime implementation, integration resource or deployment configuration.	deploy/execution_differences.json;deploy/execution_differences.rtxa6000.json;python/sglang/benchmark/datasets/autobench.py;python/sglang/srt/managers/schedule_batch.py;python/sglang/srt/managers/scheduler.py;python/sglang/srt/mem_cache/common.py;python/sglang/srt/model_executor/forward_batch_info.py;python/sglang/srt/model_executor/model_runner.py;python/sglang/srt/model_executor/runner/base_cuda_graph_runner.py;python/sglang/srt/model_executor/runner/decode_cuda_graph_runner.py;python/sglang/srt/model_executor/runner/prefill_cuda_graph_runner.py;python/sglang/srt/sampling/sampling_batch_info.py;python/sglang/srt/vpipe/attestation.py;python/sglang/srt/vpipe/batch.py;python/sglang/srt/vpipe/cohort.py;python/sglang/srt/vpipe/config.py;python/sglang/srt/vpipe/executor.py;python/sglang/srt/vpipe/graphs.py;python/sglang/srt/vpipe/mlp.py;python/sglang/srt/vpipe/mlp_compact.py;python/sglang/srt/vpipe/regime.py;python/sglang/srt/vpipe/routing.py;python/sglang/srt/vpipe/seam.py;python/sglang/srt/vpipe/skipper.py;python/sglang/srt/vpipe/validation.py;test/vp/gate_tests/test_arm_fields.py;test/vp/gate_tests/test_skipper_projector_split.py;test/vp/gates/test_verify_served_design.py;test/vp/gates/verify_served_design.py;test/vp/test_coverage_dense.py;test/vp/test_decode_coverage.py;test/vp/test_prefill_cublas_branch.py;test/vp/test_prefill_fallback.py;test/vp/vast_a100_ladder.sh
